id;number_of_check_ins
2020_2_12_5;22.4
2020_2_12_6;140.2
2020_2_12_7;476.9
2020_2_12_8;546.9000000000001
2020_2_12_9;301.3
2020_2_12_10;221.1
2020_2_12_11;225.2
2020_2_12_12;297.9
2020_2_12_13;283.3
2020_2_12_14;319.5
2020_2_12_15;389.8
2020_2_12_16;454
2020_2_12_17;477.5
2020_2_12_18;272.9
2020_2_12_19;139.4
2020_2_12_20;99.1
2020_2_12_21;91.1
2020_2_12_22;78.8
2020_2_12_23;46.5
2020_2_13_0;14.2
2020_2_13_1;1.4
2020_2_13_2;0.7
2020_2_13_3;0.9
2020_2_13_4;2.1
2020_2_13_5;22.8
2020_2_13_6;150.29999999999998
2020_2_13_7;507.6
2020_2_13_8;620.4
2020_2_13_9;341.8
2020_2_13_10;236.9
2020_2_13_11;225.5
2020_2_13_12;285.2
2020_2_13_13;282.9
2020_2_13_14;335.5
2020_2_13_15;417.5
2020_2_13_16;489
2020_2_13_17;531.9000000000001
2020_2_13_18;312.5
2020_2_13_19;164.8
2020_2_13_20;117.1
2020_2_13_21;113.6
2020_2_13_22;97.6
2020_2_13_23;62.3
2020_2_14_0;21
2020_2_14_1;2.3
2020_2_14_2;1.1
2020_2_14_3;1.5
2020_2_14_4;3
2020_2_14_5;20.5
