userstopcode;userstopareacode;stopname
54260510;dfggrp;Delfgauw, Gouden Rijderplein
54260520;dfggrp;Delfgauw, Gouden Rijderplein
54260530;dfghss;Delfgauw, Hoefsmidstraat
54260540;dfghss;Delfgauw, Hoefsmidstraat
54260611;dfgove;Delfgauw, Overslagweg
54260620;dfger;Delfgauw, Laan van Ruyven
54260630;dfger;Delfgauw, Laan van Ruyven
54260670;dfgach;Delfgauw, Achtmanstraat
54260680;dfgach;Delfgauw, Achtmanstraat
54260690;dftwtw;Delft, Wateringseweg
54260700;dftwtw;Delft, Wateringseweg
54260710;dftaru;Delft, Arubastraat
54260720;dftaru;Delft, Arubastraat
54260730;dfthvr;Delft, Hugo van Rijkenlaan
54260740;dfthvr;Delft, Hugo van Rijkenlaan
54260790;dftdho;Delft, Delftse Hout
54260800;dftbrm;Delft, Brahmslaan
54260810;dftbrm;Delft, Brahmslaan
54260980;dftdho;Delft, Delftse Hout
54261000;dftabt;Delft, Abtswoudsepark
54261010;dftabt;Delft, Abtswoudsepark
54261270;dftggz;Delft, GGZ Delfland
54261280;dftggz;Delft, GGZ Delfland
54261290;dftbra;Delft, Brasserskade
54261300;dftbra;Delft, Brasserskade
54261350;dftbks;Delft, Bankastraat
54261360;dftbks;Delft, Bankastraat
54261370;dhgdef;Den Haag, Defensie
54261430;dftnpl;Delft, Nieuwe Plantage
54261440;dftnpl;Delft, Nieuwe Plantage
54261450;dfttwm;Delft, Twee Molentjeskade
54261460;dfttwm;Delft, Twee Molentjeskade
54261470;dftpri;Delft, Prinsenhof
54261480;dftpri;Delft, Prinsenhof
54261500;dftcs;Delft, Station Delft
54261501;dftcs;Delft, Station Delft
54261502;dftcs;Delft, Station Delft
54261503;dftcs;Delft, Station Delft
54261504;dftcs;Delft, Station Delft
54261506;dftcs;Delft, Station Delft
54261510;dftblh;Delft, De Bieslandhof
54261520;dftblh;Delft, De Bieslandhof
54261530;dftmar;Delft, Markt
54261540;dftmar;Delft, Markt
54261550;dftbwl;Delft, Burgwal
54261560;dftbwl;Delft, Burgwal
54261570;dftpaa;Delft, Paardenmarkt
54261590;dftzp;Delft, Zuidpoort
54261600;dftzp;Delft, Zuidpoort
54261650;dftmdr;Delft, Michiel de Ruyterweg
54261660;dftmdr;Delft, Michiel de Ruyterweg
54261690;dfglzl;Delfgauw, Laan der Zeven Linden
54261700;dfglzl;Delfgauw, Laan der Zeven Linden
54261810;dftbie;Delft, Bieslandsekade
54261820;dftbie;Delft, Bieslandsekade
54261830;dftkdb;Delft, Kinderboerderij
54261840;dftkdb;Delft, Kinderboerderij
54261851;dftcam;Delft, Camping
54261870;dftike;Delft, IKEA
54261880;dftike;Delft, IKEA
54261890;dftpc;Delft, Poortcenter
54261900;dftpc;Delft, Poortcenter
54261910;dftopa;Delft, Olof Palmestraat
54261920;dftopa;Delft, Olof Palmestraat
54262000;dftmgs;Delft, Molengraaffsingel
54262010;dftmgs;Delft, Molengraaffsingel
54262110;dftbhd;Delft, Buitenhofdreef
54262120;dftbhd;Delft, Buitenhofdreef
54262250;dftchp;Delft, Chopinlaan
54262260;dftchp;Delft, Chopinlaan
54262270;dftmzl;Delft, Mozartlaan
54262280;dftmzl;Delft, Mozartlaan
54262410;dftmtb;Delft, Menno ter Braaklaan
54262420;dftmtb;Delft, Menno ter Braaklaan
54262430;dftidh;Delft, Hovenpassage
54262440;dftidh;Delft, Hovenpassage
54262550;dftjca;Delft, Jan Campertlaan
54262560;dftjca;Delft, Jan Campertlaan
54262680;dfgdp;Delfgauw, Delfgauwseplein
54263330;dftkal;Delft, Kalfjeslaan
54263340;dftkal;Delft, Kalfjeslaan
54263350;dftehl;Delft, Edelhertlaan
54263360;dftehl;Delft, Edelhertlaan
54263370;dftftl;Delft, Fuutlaan
54263380;dftftl;Delft, Fuutlaan
54263390;dftrtz;Delft, Rietzangerstraat
54263400;dftrtz;Delft, Rietzangerstraat
54264530;dftnld;Delft, Nieuwe Langendijk
54264540;dftnld;Delft, Nieuwe Langendijk
54264670;dftpks;Delft, Prof. Krausstraat
54264680;dftpks;Delft, Prof. Krausstraat
54264710;dftnas;Delft, Nassauplein
54264720;dftnas;Delft, Nassauplein
54264730;dftplp;Delft, Poortlandplein
